cycle_no,project,id,xp,proj_hours,proj_comp,proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,challenge,project_contrib,expected_contrib,contrib_gap,est_accuracy,est_bias
13,alive-puffin,e76412aa,25.4,32.0,99.29,94.64,MISSING DATA,MISSING DATA,MISSING DATA,83.33,62.5,83.33,7.0,17.4,21.92,-4.52,96.75,3.25
13,alive-puffin,717e2737,25.11,27.0,99.29,94.64,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,75.0,8.0,17.2,18.49,-1.29,99.75,-0.25
13,alive-puffin,f490c8ee,46.72,16.0,99.29,94.64,MISSING DATA,MISSING DATA,MISSING DATA,91.67,87.5,100.0,3.0,32.0,10.96,21.04,77.5,22.5
9,amazing-peccary,dcf14075,22.32,10.0,98.33,95.44,92.59,79.63,87.04,81.48,83.33,98.15,4.0,31.0,13.89,17.11,83.5,-16.5
9,amazing-peccary,45664623,24.96,31.0,98.33,95.44,83.33,83.33,83.33,83.33,83.33,83.33,6.0,34.67,43.06,-8.39,96.0,-4.0
9,amazing-peccary,85eb0e18,24.72,31.0,98.33,95.44,83.33,100.0,100.0,100.0,100.0,91.67,7.0,34.33,43.06,-8.73,96.5,-3.5
14,ambiguous-boa,717e2737,25.0,23.0,92.88,97.31,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,6.0,50.0,46.0,4.0,100.0,0.0
14,ambiguous-boa,164d773b,25.0,27.0,92.88,97.31,MISSING DATA,MISSING DATA,MISSING DATA,66.67,100.0,100.0,7.0,50.0,54.0,-4.0,100.0,0.0
13,apathetic-chickadee,af162939,26.12,25.0,83.14,86.64,MISSING DATA,MISSING DATA,MISSING DATA,94.44,83.33,66.67,8.0,20.25,19.38,0.87,93.67,6.33
13,apathetic-chickadee,d69e4081,39.02,35.0,83.14,86.64,MISSING DATA,MISSING DATA,MISSING DATA,88.89,83.33,100.0,5.0,30.25,27.13,3.12,87.0,13.0
13,apathetic-chickadee,164d773b,24.83,29.0,83.14,86.64,MISSING DATA,MISSING DATA,MISSING DATA,77.78,83.33,88.89,9.0,19.25,22.48,-3.23,96.33,3.67
13,apathetic-chickadee,b6aa9c94,39.02,40.0,83.14,86.64,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,72.22,7.0,30.25,31.01,-0.76,93.67,6.33
4,apprehensive-goose,89ffaeb3,24.64,40.0,95.71,87.43,66.67,75.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,25.67,41.67,-16.0,99.0,-1.0
4,apprehensive-goose,75dbe257,43.52,16.0,95.71,87.43,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,45.33,16.67,28.66,99.0,1.0
4,apprehensive-goose,45a99283,27.84,40.0,95.71,87.43,75.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,29.0,41.67,-12.67,94.0,-6.0
15,aromatic-hippopotamus,396fad2d,31.0,32.0,98.0,97.44,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,8.0,50.0,51.61,-1.61,100.0,0.0
15,aromatic-hippopotamus,90945a45,31.0,30.0,98.0,97.44,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,50.0,48.39,1.61,100.0,0.0
5,ashamed-opossum,936e3168,25.24,31.0,100.0,96.0,66.67,94.44,88.89,MISSING DATA,MISSING DATA,MISSING DATA,,24.5,30.1,-5.6,99.33,-0.67
5,ashamed-opossum,396fad2d,23.95,32.0,100.0,96.0,55.56,83.33,94.44,MISSING DATA,MISSING DATA,MISSING DATA,,23.25,31.07,-7.82,98.33,-1.67
5,ashamed-opossum,75dbe257,35.28,12.0,100.0,96.0,97.92,91.67,95.83,MISSING DATA,MISSING DATA,MISSING DATA,,34.25,11.65,22.6,92.33,7.67
5,ashamed-opossum,cbcff678,18.54,28.0,100.0,96.0,66.67,94.44,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,18.0,27.18,-9.18,97.33,2.67
19,aspiring-colobus,e76412aa,26.5,26.0,93.33,93.83,MISSING DATA,MISSING DATA,MISSING DATA,100.0,83.33,83.33,7.0,50.0,49.06,0.94,100.0,0.0,5,5
19,aspiring-colobus,164d773b,26.5,27.0,93.33,93.83,MISSING DATA,MISSING DATA,MISSING DATA,66.67,66.67,83.33,7.0,50.0,50.94,-0.94,100.0,0.0,7,7
10,auspicious-mouse,dcf14075,13.96,4.0,99.0,96.17,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,100.0,4.0,17.67,5.06,12.61,96.5,3.5
10,auspicious-mouse,690c133a,28.18,35.0,99.0,96.17,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,7.0,35.67,44.3,-8.63,98.0,2.0
10,auspicious-mouse,b6aa9c94,36.87,40.0,99.0,96.17,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,91.67,7.0,46.67,50.63,-3.96,95.0,5.0
10,belligerent-whale,dcf14075,19.32,4.0,96.87,94.93,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,100.0,4.0,23.0,4.76,18.24,95.5,-4.5
10,belligerent-whale,45664623,32.48,34.0,96.87,94.93,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,83.33,7.0,38.67,40.48,-1.81,93.5,6.5
10,belligerent-whale,45a99283,32.2,46.0,96.87,94.93,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,6.0,38.33,54.76,-16.43,92.0,-8.0
12,berserk-macaw,eaf4b011,10.64,17.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,44.44,33.33,33.33,7.0,10.75,17.17,-6.42,94.33,5.67
12,berserk-macaw,4d838f6e,28.46,30.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,94.44,8.0,28.75,30.3,-1.55,95.0,-5.0
12,berserk-macaw,e76412aa,33.41,33.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,8.0,33.75,33.33,0.42,95.0,-5.0
12,berserk-macaw,85eb0e18,26.48,19.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,97.92,97.92,91.67,7.0,26.75,19.19,7.56,98.33,1.67
10,berserk-skimmer,4a6f36f6,24.12,29.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,83.33,88.89,83.33,8.5,22.75,27.36,-4.61,97.0,3.0
10,berserk-skimmer,adda47cf,33.13,37.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,94.44,88.89,83.33,7.0,31.25,34.91,-3.66,95.67,-4.33
10,berserk-skimmer,cbcff678,27.03,35.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,100.0,94.44,83.33,8.0,25.5,33.02,-7.52,92.67,-7.33
10,berserk-skimmer,75dbe257,21.73,5.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,93.75,4.0,20.5,4.72,15.78,99.33,-0.67
12,bland-macaw,198449da,25.83,31.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,72.22,50.0,55.56,6.0,20.5,24.6,-4.1,96.67,3.33
12,bland-macaw,29f423c4,34.65,30.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,88.1,83.33,97.62,4.0,27.5,23.81,3.69,90.0,10.0
12,bland-macaw,ea4646be,26.78,35.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,77.78,83.33,44.44,7.0,21.25,27.78,-6.53,96.33,3.67
12,bland-macaw,94b1cd36,38.74,30.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,100.0,6.0,30.75,23.81,6.94,96.33,-3.67
14,boiling-pademelon,f2d70fa5,7.31,11.0,99.41,99.15,MISSING DATA,MISSING DATA,MISSING DATA,88.89,77.78,88.89,7.0,5.8,8.73,-2.93,97.25,2.75
14,boiling-pademelon,5c217ba1,33.26,29.0,99.41,99.15,MISSING DATA,MISSING DATA,MISSING DATA,95.83,100.0,100.0,7.0,26.4,23.02,3.38,99.25,0.75
14,boiling-pademelon,9ae522cc,28.48,33.0,99.41,99.15,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,91.67,7.0,22.6,26.19,-3.59,99.5,0.5
14,boiling-pademelon,4a6f36f6,30.24,30.0,99.41,99.15,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,95.83,6.0,24.0,23.81,0.19,93.75,6.25
14,boiling-pademelon,85eb0e18,26.71,23.0,99.41,99.15,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,75.0,7.0,21.2,18.25,2.95,97.25,-2.75
18,boorish-wolf,490387f1,22.0,24.0,85.83,86.67,MISSING DATA,MISSING DATA,MISSING DATA,66.67,58.33,75.0,6.0,40.0,43.64,-3.64,100.0,0.0,6,6
18,boorish-wolf,75dbe257,7.52,4.0,85.83,86.67,MISSING DATA,MISSING DATA,MISSING DATA,88.89,90.28,91.67,4.0,13.67,7.27,6.4,90.5,9.5,7,7
18,boorish-wolf,b6aa9c94,25.48,27.0,85.83,86.67,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,83.33,7.0,46.33,49.09,-2.76,90.5,-9.5,6,6
14,brief-boubou,eed94af6,22.0,22.0,99.33,99.33,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,50.0,50.0,0.0,100.0,0.0
14,brief-boubou,713b4462,22.0,22.0,99.33,99.33,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,50.0,50.0,0.0,100.0,0.0
16,cagey-bustard,690c133a,37.38,30.0,100.0,99.31,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,6.0,57.5,46.15,11.35,95.0,5.0
16,cagey-bustard,085c56bc,27.63,35.0,100.0,99.31,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,42.5,53.85,-11.35,95.0,5.0
2,cagey-lapwing,29f423c4,50.86,40.0,58.11,74.72,83.33,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,29.4,23.12,6.28,97.0,-3.0
2,cagey-lapwing,936e3168,35.29,40.0,58.11,74.72,72.22,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,20.4,23.12,-2.72,94.25,5.75
2,cagey-lapwing,cbcff678,20.76,40.0,58.11,74.72,62.5,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,12.0,23.12,-11.12,87.5,-12.5
2,cagey-lapwing,dcf14075,31.83,13.0,58.11,74.72,95.0,86.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,18.4,7.51,10.89,98.0,2.0
2,cagey-lapwing,b6aa9c94,34.25,40.0,58.11,74.72,79.17,79.17,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,19.8,23.12,-3.32,85.25,-14.75
4,callous-kookaburra,f7ba1065,18.26,29.0,77.88,81.5,83.33,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,24.67,39.19,-14.52,95.0,5.0
4,callous-kookaburra,070b3063,33.54,7.0,77.88,81.5,100.0,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,45.33,9.46,35.87,78.0,22.0
4,callous-kookaburra,4a6f36f6,22.2,38.0,77.88,81.5,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.0,51.35,-21.35,98.5,1.5
20,callous-teal,4a6f36f6,15.12,18.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,6.0,42.0,50.0,-8.0,90.0,-10.0,5,5
20,callous-teal,cbcff678,13.5,13.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,100.0,66.67,7.0,37.5,36.11,1.39,99.0,1.0,6,6
20,callous-teal,75dbe257,7.38,5.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,100.0,,20.5,13.89,6.61,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA
17,calm-alligator,b7faca92,30.45,38.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,16.67,16.67,50.0,6.0,72.5,90.48,-17.98,55.0,45.0
17,calm-alligator,75dbe257,11.55,4.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,90.74,94.44,98.15,7.0,27.5,9.52,17.98,55.0,45.0
12,caring-lemming,8e44efb9,27.54,31.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,94.44,8.0,27.0,30.39,-3.39,100.0,0.0
12,caring-lemming,90945a45,31.37,30.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,30.75,29.41,1.34,99.0,-1.0
12,caring-lemming,85eb0e18,12.24,3.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,97.92,97.92,91.67,6.0,12.0,2.94,9.06,93.33,-6.67
12,caring-lemming,45550069,30.86,38.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,30.25,37.25,-7.0,99.67,-0.33
18,cautious-reindeer,50b78c66,25.85,32.0,73.33,87.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,55.0,68.09,-13.09,90.0,10.0
18,cautious-reindeer,690c133a,21.15,15.0,73.33,87.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,7.0,45.0,31.91,13.09,90.0,10.0
20,charming-cardinal,50b78c66,13.0,10.0,70.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,100.0,7.0,50.0,38.46,11.54,100.0,0.0,0,0
20,charming-cardinal,b7faca92,13.0,16.0,70.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,0.0,0.0,0.0,7.0,50.0,61.54,-11.54,100.0,0.0,5,5
19,chivalrous-ox,af162939,34.0,34.0,87.0,99.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,50.0,50.0,0.0,100.0,0.0,7,7
19,chivalrous-ox,198449da,34.0,34.0,87.0,99.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,8.0,50.0,50.0,0.0,100.0,0.0,7,7
19,chunky-paradoxure,dcf14075,6.71,4.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,93.06,94.44,100.0,4.0,11.0,6.56,4.44,94.0,6.0,7,7
19,chunky-paradoxure,5c217ba1,34.97,36.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,57.33,59.02,-1.69,91.5,8.5,7,7
19,chunky-paradoxure,396fad2d,19.32,21.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,91.67,83.33,6.0,31.67,34.43,-2.76,90.5,9.5,7,7
14,clammy-baboon,8e44efb9,28.0,28.0,100.0,99.3,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,100.0,7.0,50.0,50.0,0.0,100.0,0.0
14,clammy-baboon,adda47cf,28.0,28.0,100.0,99.3,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,50.0,50.0,0.0,100.0,0.0
6,clammy-tayra,dcf14075,21.66,7.0,98.67,92.22,97.62,90.48,92.86,MISSING DATA,MISSING DATA,MISSING DATA,,32.33,10.45,21.88,81.5,-18.5
6,clammy-tayra,85eb0e18,23.0,30.0,98.67,92.22,91.67,100.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,34.33,44.78,-10.45,95.0,-5.0
6,clammy-tayra,b6aa9c94,22.33,30.0,98.67,92.22,83.33,91.67,83.33,MISSING DATA,MISSING DATA,MISSING DATA,,33.33,44.78,-11.45,98.0,-2.0
9,cloudy-coot,adda47cf,20.47,38.0,99.29,87.14,75.0,91.67,91.67,83.33,91.67,66.67,7.0,29.67,55.07,-25.4,93.5,6.5
9,cloudy-coot,90945a45,16.1,25.0,99.29,87.14,66.67,83.33,83.33,75.0,66.67,75.0,7.0,23.33,36.23,-12.9,87.5,-12.5
9,cloudy-coot,75dbe257,32.43,6.0,99.29,87.14,97.22,91.67,91.67,94.44,94.44,97.22,4.0,47.0,8.7,38.3,97.0,-3.0
2,clumsy-quail,45a99283,28.21,40.0,51.47,69.63,75.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.33,43.01,-12.68,99.5,-0.5
2,clumsy-quail,4a6f36f6,29.76,40.0,51.47,69.63,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,32.0,43.01,-11.01,94.0,6.0
2,clumsy-quail,dcf14075,35.03,13.0,51.47,69.63,95.0,86.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,37.67,13.98,23.69,89.0,11.0
14,cluttered-jackrabbit,50b78c66,26.77,24.0,96.88,96.88,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,8.0,50.5,45.28,5.22,99.0,-1.0
14,cluttered-jackrabbit,396fad2d,26.24,29.0,96.88,96.88,MISSING DATA,MISSING DATA,MISSING DATA,50.0,83.33,33.33,8.0,49.5,54.72,-5.22,99.0,-1.0
3,cluttered-partridge,690c133a,22.5,40.0,86.83,85.06,75.0,75.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,25.0,44.44,-19.44,92.5,7.5
3,cluttered-partridge,adda47cf,25.5,40.0,86.83,85.06,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.33,44.44,-16.11,97.5,2.5
3,cluttered-partridge,75dbe257,42.0,10.0,86.83,85.06,93.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,46.67,11.11,35.56,80.0,20.0
18,cold-jaguarundi,ea4646be,43.7,38.0,94.5,96.3,MISSING DATA,MISSING DATA,MISSING DATA,0.0,0.0,50.0,7.0,57.5,50.0,7.5,95.0,5.0,2,2
18,cold-jaguarundi,5178cbf5,32.3,38.0,94.5,96.3,MISSING DATA,MISSING DATA,MISSING DATA,16.67,50.0,50.0,4.0,42.5,50.0,-7.5,95.0,5.0,1,1
8,comfortable-buffalo,75dbe257,22.87,7.0,100.0,95.5,100.0,96.67,96.67,MISSING DATA,MISSING DATA,MISSING DATA,4.0,31.33,9.59,21.74,96.0,4.0
8,comfortable-buffalo,90945a45,21.41,28.0,100.0,95.5,83.33,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,8.0,29.33,38.36,-9.03,99.0,1.0
8,comfortable-buffalo,29f423c4,28.71,38.0,100.0,95.5,91.67,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,6.0,39.33,52.05,-12.72,91.5,8.5
19,complete-hyena,eb678107,34.84,32.0,100.0,98.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,6.0,52.0,47.76,4.24,100.0,0.0,7,7
19,complete-hyena,5178cbf5,32.16,35.0,100.0,98.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,48.0,52.24,-4.24,100.0,0.0,7,7
11,condescending-aardwolf,0af92c55,12.83,24.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,66.67,75.0,91.67,7.0,23.33,43.64,-20.31,97.5,2.5
11,condescending-aardwolf,b6aa9c94,18.33,10.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,79.17,79.17,75.0,6.0,33.33,18.18,15.15,97.5,2.5
11,condescending-aardwolf,cbcff678,23.83,21.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,91.67,75.0,75.0,5.0,43.33,38.18,5.15,90.0,10.0
17,cut-sandpiper,eb678107,22.14,29.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,50.0,7.0,41.0,53.7,-12.7,78.0,22.0
17,cut-sandpiper,690c133a,31.86,25.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,100.0,100.0,8.0,59.0,46.3,12.7,78.0,22.0
3,dazzling-white-eye,f7ba1065,11.07,40.0,91.58,82.32,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,20.5,74.07,-53.57,99.0,1.0
3,dazzling-white-eye,75dbe257,42.93,14.0,91.58,82.32,93.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,79.5,25.93,53.57,99.0,1.0
13,deafening-rattlesnake,adda47cf,21.85,29.0,98.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,88.89,83.33,77.78,8.0,23.0,30.53,-7.53,98.67,-1.33
13,deafening-rattlesnake,f2d70fa5,23.04,30.0,98.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,88.89,6.0,24.25,31.58,-7.33,93.0,-7.0
13,deafening-rattlesnake,dcf14075,29.93,15.0,98.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,90.48,92.86,95.24,7.0,31.5,15.79,15.71,88.67,11.33
13,deafening-rattlesnake,45664623,20.19,21.0,98.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,72.22,55.56,66.67,7.0,21.25,22.11,-0.86,93.67,6.33
13,decorous-weaver,5178cbf5,22.67,26.4,100.0,98.21,MISSING DATA,MISSING DATA,MISSING DATA,83.33,100.0,66.67,6.0,39.5,45.99,-6.49,89.0,11.0
13,decorous-weaver,9ae522cc,34.73,31.0,100.0,98.21,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,5.0,60.5,54.01,6.49,89.0,11.0
8,deeply-jackal,4a6f36f6,23.28,33.0,96.0,91.6,83.33,100.0,94.44,MISSING DATA,MISSING DATA,MISSING DATA,6.0,24.0,34.02,-10.02,98.67,1.33
8,deeply-jackal,dcf14075,30.8,5.0,96.0,91.6,96.67,93.33,90.0,MISSING DATA,MISSING DATA,MISSING DATA,2.0,31.75,5.15,26.6,95.67,4.33
8,deeply-jackal,45664623,24.98,32.0,96.0,91.6,88.89,72.22,66.67,MISSING DATA,MISSING DATA,MISSING DATA,6.0,25.75,32.99,-7.24,97.0,3.0
8,deeply-jackal,f7ba1065,17.95,27.0,96.0,91.6,55.56,66.67,55.56,MISSING DATA,MISSING DATA,MISSING DATA,7.0,18.5,27.84,-9.34,99.33,-0.67
17,defeated-wolf,45664623,21.81,27.0,100.0,98.6,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,6.0,28.33,35.06,-6.73,96.0,4.0
17,defeated-wolf,eed94af6,25.41,20.0,100.0,98.6,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,91.67,7.0,33.0,25.97,7.03,100.0,0.0
17,defeated-wolf,45550069,29.78,30.0,100.0,98.6,MISSING DATA,MISSING DATA,MISSING DATA,100.0,91.67,91.67,6.0,38.67,38.96,-0.29,98.0,2.0
17,delightful-darter,dcf14075,16.68,5.0,90.0,95.0,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,100.0,4.0,30.33,9.09,21.24,82.5,17.5
17,delightful-darter,936e3168,18.33,21.0,90.0,95.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,91.67,91.67,6.0,33.33,38.18,-4.85,95.0,-5.0
17,delightful-darter,4a6f36f6,19.98,29.0,90.0,95.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,36.33,52.73,-16.4,87.0,13.0
1,depraved-malleefowl,29f423c4,27.6,40.0,92.89,86.84,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.67,44.44,-13.77,96.5,3.5
